Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
fire,780,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],270.6480019688606,187.19999194145203,193.37699779868126,183.10499431192875,221.88599967956543,1056.21598570048807
clingcon,780,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],278.44380167126656,187.19999194145203,193.37699779868126,182.52499432861805,221.06199967861176,1062.60778541862966
fire,780,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],278.52000218629837,191.2319917678833,,,,469.75199395418167
clingcon,780,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],278.44380167126656,187.19999194145203,,,,465.64379361271859
fire,780,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],280.779601752758,,,,,280.779601752758
clingcon,780,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],278.44380167126656,,,,,278.44380167126656
fire,780,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],270.2542013823986,183.16799211502075,189.41179803013802,,,642.83399152755737
clingcon,780,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],270.2542013823986,194.6879916191101,196.56379798054695,,,661.50599098205565
fire,780,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],270.2542013823986,187.19999194145203,189.41179803013802,190.23799408972263,,837.10398544371128
clingcon,780,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],270.2542013823986,194.6879916191101,196.56379798054695,194.87999394536018,,856.38598492741583
fire,780,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],270.2542013823986,192.38399171829224,197.45779797434807,197.48699386417866,213.99799954891205,1071.58098448812962
clingcon,780,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],270.2542013823986,194.6879916191101,196.56379798054695,194.87999394536018,207.40599954128265,1063.79198446869848
fire,780,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],270.2542013823986,195.26399159431458,,,,465.51819297671318
clingcon,780,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],270.2542013823986,194.6879916191101,,,,464.9421930015087
fire,780,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],270.2542013823986,,,,,270.2542013823986
clingcon,780,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],270.2542013823986,,,,,270.2542013823986
fire,780,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],266.8096018433571,199.29599142074585,202.3747979402542,,,668.48039120435715
clingcon,780,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],272.9112015366554,199.29599142074585,202.3747979402542,,,674.58199089765545
fire,780,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],266.8096018433571,202.1759912967682,202.3747979402542,190.8679940700531,,862.2283851504326
clingcon,780,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],272.9112015366554,199.29599142074585,202.3747979402542,191.2659940570593,,865.84798495471475
