Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
22.96,900,150,1,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,6,24098700,16732400,20980300,34720000,37926900,134458300
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
24.51,900,300,1,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,3,26244780,,,,,26244780
26.24,900,300,1,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,3,26244780,17568000,,,,43812780
