Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
332.26,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9,28959200,21329400,25323400,32959600,35772600,144344200
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
29.33,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,31292880,,,,,31292880
29.14,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,31292880,21024000,,,,52316880
232.40,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,29389160,19929600,21644880,,,70963640
262.28,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6,28197700,19065600,21644880,19783500,,88691680
29.09,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,30555340,21139200,22538880,21129700,24990100,120353220
0.00,900,150,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
23.71,900,150,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,28956700,20929800,,,,49886500
23.59,900,150,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,28956700,20929800,24856400,,,74742900
24.60,900,150,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,28763200,20316800,24296000,33212600,,106588600
380.69,900,150,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6,27706400,19518900,23455400,32959600,35607800,139248100
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
282.40,900,150,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,30964740,21484800,,,,52449540
162.72,900,150,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,29019180,19123200,21644880,,,69787260
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
272.33,900,150,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,30278960,20736000,22181280,20153600,24283800,117633640
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
381.69,900,150,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,28129600,20955800,25323400,31892300,,106301100
0.00,900,150,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
