Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
137.6,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,6.0,7170300.0,5875200.0,,,,13045500.0,multi_shot
764.12,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6.0,7120300.0,5875200.0,6479140.0,,,19474640.0,multi_shot
490.55,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6240500.0,,25675740.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,,,multi_shot
23.84,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,9.0,31379340.0,,,,,31379340.0,multi_shot
24.05,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9.0,31379340.0,21139200.0,,,,52518540.0,multi_shot
201.92,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,9.0,29608480.0,19584000.0,22047180.0,,,71239660.0,multi_shot
24.13,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9.0,31344460.0,21139200.0,22538880.0,21129700.0,,96152240.0,multi_shot
586.05,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9.0,31010940.0,21484800.0,22870120.0,20680800.0,24778200.0,120824860.0,multi_shot
20.03,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,9.0,28824400.0,,,,,28824400.0,multi_shot
20.41,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,9.0,28824400.0,20929800.0,,,,49754200.0,multi_shot
20.66,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,9.0,28824800.0,20534000.0,24949800.0,,,74308600.0,multi_shot
20.89,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,,108235500.0,multi_shot
20.94,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,35855000.0,144090500.0,multi_shot
23.66,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,9.0,23828940.0,,,,,23828940.0,multi_shot
24.02,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,9.0,23828940.0,19353600.0,,,,43182540.0,multi_shot
24.23,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,9.0,24091340.0,19584000.0,22896480.0,,,66571820.0,multi_shot
24.44,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,9.0,24091340.0,19584000.0,22896480.0,20906700.0,,87478520.0,multi_shot
0.0,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,,multi_shot
