Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
14.797,900,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,29026200,20929800,24949800,33367300,,216382000
15.115,900,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,29026200,20929800,24949800,33367300,35690200,287597600
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
532.569,900,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,24025740,19526400,22807080,21144200,,174998140
396.526,900,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,24025740,19526400,22807080,21069600,21035300,216911740
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
14.551,900,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,10426260,,,,,20677520
14.437,900,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,10426260,7948800,,,,36575120
14.636,900,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,10426260,7948800,9535900,,,55646920
14.561,900,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,10426260,7948800,9535900,8805600,,73258120
16.487,900,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,10426260,7948800,9535900,8805600,9169900,91597920
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
34.710,900,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,31406320,21772800,22579040,21940800,,195266120
14.958,900,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,31406320,21772800,22579040,21809000,23118600,241206720
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,
