Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
176.25,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9.0,30748660.0,20793600.0,22494180.0,20780700.0,,94817140.0,multi_shot
306.9,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9.0,30714900.0,20736000.0,22449480.0,20483100.0,24448600.0,118832080.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
332.26,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9.0,28959200.0,21329400.0,25323400.0,32959600.0,35772600.0,144344200.0,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
29.33,900,150.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,31292880.0,,,,,31292880.0,multi_shot
